Subject.Code,Group,Speed,Shoe,Footstrike,Age,Mass,Height,Running.Economy,10K.PB,Contact.Time,BP.ratio,LU.ratio,HV.TD,BP.to.LU,SB,SM.Fit
4,1,0,1,0,25.2,49.35,165.7,197.5,28.9,0.2115,0.8969,0.8969,0,1,89.9997,97.3318215
4,1,0,1,0,25.2,49.35,165.7,197.5,28.9,0.2095,0.9309,0.9309,0,1,89.5143,97.3318215
4,1,0,1,0,25.2,49.35,165.7,197.5,28.9,0.1995,0.9183,0.8558,0.0035,1.073,89.986,97.3318215
4,1,1,1,0,25.2,49.35,165.7,197.5,28.9,0.151,0.7976,0.8642,-0.003,0.923,87.675,165.6155834
4,1,1,1,0,25.2,49.35,165.7,197.5,28.9,0.147,0.8037,0.8608,-0.0025,0.9337,84.8256,165.6155834
4,1,1,1,0,25.2,49.35,165.7,197.5,28.9,0.158,0.7174,0.848,-0.0065,0.846,90.1741,165.6155834
4,1,0,0,0,25.2,49.35,165.7,197.5,28.9,0.2005,0.9372,1.0355,-0.005,0.905,94.9293,98.52773941
4,1,0,0,0,25.2,49.35,165.7,197.5,28.9,0.202,0.9901,0.9057,0.0045,1.0933,95.0245,98.52773941
4,1,0,0,0,25.2,49.35,165.7,197.5,28.9,0.2,0.9048,0.9512,-0.0025,0.9512,96.7256,98.52773941
4,1,0,0,0,25.2,49.35,165.7,197.5,28.9,0.202,0.9804,0.8618,0.0065,1.1377,93.2233,98.52773941
4,1,0,0,0,25.2,49.35,165.7,197.5,28.9,0.2085,0.9577,0.9128,0.0025,1.0492,93.19,98.52773941
4,1,1,0,0,25.2,49.35,165.7,197.5,28.9,0.152,0.7988,0.8882,-0.004,0.8994,84.2468,135.1006294
4,1,1,0,0,25.2,49.35,165.7,197.5,28.9,0.1545,0.8284,0.9313,-0.0045,0.8896,86.0738,135.1006294
4,1,1,0,0,25.2,49.35,165.7,197.5,28.9,0.1615,0.7944,0.9,-0.005,0.8827,85.1377,135.1006294
5,1,0,1,1,20,53.2,170.5,195.6,29.1,0.214,0.7833,0.8772,-0.006,0.893,90.3827,51.95469556
5,1,0,1,1,20,53.2,170.5,195.6,29.1,0.205,0.7826,0.8981,-0.007,0.8714,84.7467,51.95469556
5,1,0,1,1,20,53.2,170.5,195.6,29.1,0.205,0.8807,0.8636,0.001,1.0198,86.4023,51.95469556
5,1,0,1,1,20,53.2,170.5,195.6,29.1,0.204,0.7739,0.7895,-0.001,0.9803,86.8939,51.95469556
5,1,0,1,1,20,53.2,170.5,195.6,29.1,0.198,0.7838,0.8505,-0.004,0.9216,86.153,51.95469556
5,1,1,1,1,20,53.2,170.5,195.6,29.1,0.154,0.6739,0.925,-0.012,0.7286,81.5795,68.15709057
5,1,1,1,1,20,53.2,170.5,195.6,29.1,0.145,0.7901,0.8354,-0.002,0.9458,91.2066,68.15709057
5,1,1,1,1,20,53.2,170.5,195.6,29.1,0.14,0.6471,0.8919,-0.011,0.7255,84.0384,68.15709057
5,1,0,0,1,20,53.2,170.5,195.6,29.1,0.2,0.6807,0.8519,-0.011,0.7991,90.0074,70.76759585
5,1,0,0,1,20,53.2,170.5,195.6,29.1,0.195,0.9118,0.875,0.002,1.042,92.713,70.76759585
5,1,0,0,1,20,53.2,170.5,195.6,29.1,0.199,0.7611,0.8426,-0.005,0.9032,90.6349,70.76759585
5,1,0,0,1,20,53.2,170.5,195.6,29.1,0.199,0.8426,0.8598,-0.001,0.98,94.3023,70.76759585
5,1,0,0,1,20,53.2,170.5,195.6,29.1,0.197,0.7909,0.8073,-0.001,0.9796,93.2833,70.76759585
5,1,1,0,1,20,53.2,170.5,195.6,29.1,0.154,0.7701,0.9494,-0.008,0.8112,84.522,53.64638527
5,1,1,0,1,20,53.2,170.5,195.6,29.1,0.154,0.7303,1.0263,-0.013,0.7116,80.4538,53.64638527
5,1,1,0,1,20,53.2,170.5,195.6,29.1,0.148,0.5102,0.85,-0.018,0.6002,79.7434,53.64638527
6,1,0,1,1,22.2,52.15,165.3,174.9,29,0.19,0.8812,0.9,-0.001,0.9791,98.8538,163.0241793
6,1,0,1,1,22.2,52.15,165.3,174.9,29,0.213,0.9452,0.9364,0.0005,1.0094,93.6571,163.0241793
6,1,0,1,1,22.2,52.15,165.3,174.9,29,0.199,0.9606,0.9043,0.003,1.0622,95.1516,163.0241793
6,1,0,1,1,22.2,52.15,165.3,174.9,29,0.1895,0.9843,0.8488,0.007,1.1597,94.3927,163.0241793
6,1,0,1,1,22.2,52.15,165.3,174.9,29,0.1885,0.9534,0.7867,0.009,1.2118,98.1536,163.0241793
6,1,1,1,1,22.2,52.15,165.3,174.9,29,0.16,0.8497,0.9394,-0.004,0.9045,91.3024,184.9606276
6,1,1,1,1,22.2,52.15,165.3,174.9,29,0.159,0.7283,0.8068,-0.004,0.9026,96.4397,184.9606276
6,1,1,1,1,22.2,52.15,165.3,174.9,29,0.148,0.7412,0.9221,-0.008,0.8038,85.5937,184.9606276
6,1,0,0,1,22.2,52.15,165.3,174.9,29,0.21,1.199,0.8341,0.019,1.4375,100.9114,63.25271645
6,1,0,0,1,22.2,52.15,165.3,174.9,29,0.202,0.9804,0.9517,0.0015,1.0302,87.9546,63.25271645
6,1,0,0,1,22.2,52.15,165.3,174.9,29,0.193,1.1209,0.9694,0.007,1.1563,88.9001,63.25271645
6,1,0,0,1,22.2,52.15,165.3,174.9,29,0.207,1.0195,0.7395,0.0165,1.3787,97.3091,63.25271645
6,1,0,0,1,22.2,52.15,165.3,174.9,29,0.2075,0.9952,0.8527,0.008,1.1671,91.9199,63.25271645
6,1,1,0,1,22.2,52.15,165.3,174.9,29,0.1525,0.9304,0.9063,0.001,1.0266,86.7976,51.40351686
6,1,1,0,1,22.2,52.15,165.3,174.9,29,0.1425,0.8874,0.8874,0,1,87.0148,51.40351686
6,1,1,0,1,22.2,52.15,165.3,174.9,29,0.1395,0.7658,0.9648,-0.008,0.7938,83.2286,51.40351686
7,1,0,1,0,21.4,52.8,162.1,205.4,28.1,0.2135,0.7358,0.708,0.002,1.0392,92.827,107.0084813
7,1,0,1,0,21.4,52.8,162.1,205.4,28.1,0.2155,0.9071,0.7379,0.011,1.2293,114.4841,107.0084813
7,1,0,1,0,21.4,52.8,162.1,205.4,28.1,0.2215,0.8082,0.6717,0.01,1.2032,104.7834,107.0084813
7,1,0,1,0,21.4,52.8,162.1,205.4,28.1,0.2215,0.823,0.7171,0.0075,1.1478,94.5619,107.0084813
7,1,0,1,0,21.4,52.8,162.1,205.4,28.1,0.2175,0.8511,0.7194,0.009,1.1831,95.0258,107.0084813
7,1,1,1,0,21.4,52.8,162.1,205.4,28.1,0.155,0.7714,0.8023,-0.0015,0.9615,85.5405,110.5698802
